[Thursday/March 09/03/2023 21:37:26] /mnt/01D4068790C88900/69/【女性が歌う】幸せ   back number(Covered by コバソロ & 藤川千愛).mkv | length=413.273 | time=156.625
[Thursday/March 09/03/2023 21:38:36] /mnt/01D4068790C88900/69/【女性が歌う】幸せ   back number(Covered by コバソロ & 藤川千愛).mkv | length=413.273 | time=196
[Thursday/March 09/03/2023 21:38:38] /mnt/01D4068790C88900/69/로켓펀치(Rocket Punch) 'JUICY' MV-CEE7It_C85k.webm | length=210.021 | time=1.96
[Thursday/March 09/03/2023 21:38:41] /mnt/01D4068790C88900/69/르세라핌 [LE SSERAFIM] - FEARLESS (choreography)｜HUP! [6K0VmqVMKpc].webm | length=177.241 | time=2.753
[Thursday/March 09/03/2023 21:38:42] /mnt/01D4068790C88900/69/시크릿(SECRET) - I'm In Love 안무영상(Dance Practice)-t_sE1A8jEKE.webm | length=207.701 | time=3.4
[Thursday/March 09/03/2023 21:39:03] /mnt/01D4068790C88900/69/첫사랑(CSR) '첫사랑 (Pop？ Pop!)' Performance Video [Z2_UuNrfZJs].webm | length=225.661 | time=20.27
[Thursday/March 09/03/2023 22:07:01] /mnt/01D4068790C88900/69/[입덕직캠] 오마이걸 유아 직캠 ‘다섯 번째 계절(SSFWL)’ (OH MY GIRL YOOA FanCam), MCOUNTDOWN_2019.5.9-YjJGkPQsDSQ.webm | length=245.401 | time=5.372
[Thursday/March 09/03/2023 22:09:09] /mnt/01D4068790C88900/69/[입덕직캠] 오마이걸 유아 직캠 ‘다섯 번째 계절(SSFWL)’ (OH MY GIRL YOOA FanCam), MCOUNTDOWN_2019.5.9-YjJGkPQsDSQ.webm | length=245.401 | time=91.024
[Thursday/March 09/03/2023 22:11:09] /mnt/01D4068790C88900/69/SEVENTEEN (세븐틴) 'My My' Official MV-PQOJJ037ys8.webm | length=185.261 | time=27.785
[Thursday/March 09/03/2023 22:13:15] /mnt/01D4068790C88900/69/STAYC(스테이씨) 'SO BAD' MV-gMe1c4UegBY.webm | length=214.281 | time=4.963
[Thursday/March 09/03/2023 22:13:43] /mnt/01D4068790C88900/69/Tones and I - DANCE MONKEY _ cover by MANDA-qG9Fg-1bLGs.webm | length=220.801 | time=14.8
[Thursday/March 09/03/2023 22:17:59] /mnt/01D4068790C88900/69/Tones and I - DANCE MONKEY _ cover by MANDA-qG9Fg-1bLGs.webm | length=220.801 | time=29.88
[Thursday/March 09/03/2023 22:18:18] /mnt/01D4068790C88900/69/Tones and I - DANCE MONKEY _ cover by MANDA-qG9Fg-1bLGs.webm | length=220.801 | time=31.44
[Thursday/March 09/03/2023 22:19:15] /mnt/01D4068790C88900/69/TWICE 'Feel Special' M_V-3ymwOvzhwHs.webm | length=220.461 | time=56.481
[Thursday/March 09/03/2023 22:23:11] /mnt/01D4068790C88900/69/TWICE 'Feel Special' M_V-3ymwOvzhwHs.webm | length=220.461 | time=93.017
[Thursday/March 09/03/2023 22:28:07] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Arabic Language Day (Kids Songs) _ آدم ومشمش - يوم اللغة العربية  (S08E01) [OzdGIHkhkTE].webm | length=189.941 | time=66.087
[Thursday/March 09/03/2023 22:56:58] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Arabic Language Day (Kids Songs) _ آدم ومشمش - يوم اللغة العربية  (S08E01) [OzdGIHkhkTE].webm | length=189.941 | time=74.807
[Thursday/March 09/03/2023 22:57:02] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Colors 2 (Kids Songs) _ (أغاني أطفال) آدم ومشمش -  هذه الألوان ٢ (S07E06) [dayOskI9aZ0].webm | length=217.601 | time=1.367
[Thursday/March 09/03/2023 22:57:33] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Baby Submarine  (Kids Songs) _ آدم ومشمش - الغواصة والتنقل عبر الماء (S10E06) [rpuf7SFFSn4].webm | length=147.021 | time=31.295
[Thursday/March 09/03/2023 23:05:34] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Baby Submarine  (Kids Songs) _ آدم ومشمش - الغواصة والتنقل عبر الماء (S10E06) [rpuf7SFFSn4].webm | length=147.021 | time=60.344
[Thursday/March 09/03/2023 23:09:42] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Baby Submarine  (Kids Songs) _ آدم ومشمش - الغواصة والتنقل عبر الماء (S10E06) [rpuf7SFFSn4].webm | length=147.021 | time=73.191
[Thursday/March 09/03/2023 23:10:08] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/Adam Wa Mishmish - Colors in Arabic (Kids Songs) _ (أغاني للأطفال) آدم ومشمش - الألوان (S01E08) [mzVWiRT4GD0].webm | length=85.221 | time=85.221
[Thursday/March 09/03/2023 23:32:25] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/الأشهر مع آدم ومشمش The Months in Arabic with Adam and Mishmish (S04E05).mp4 | length=131.727 | time=103.39998888889
[Thursday/March 09/03/2023 23:33:27] /mnt/01D4068790C88900/69/SEVENTEEN (세븐틴) 'HOME;RUN' Official MV-UB4FzllQCyc.webm | length=214.741 | time=214.72100000003
[Thursday/March 09/03/2023 23:37:03] /mnt/01D4068790C88900/69/【女性が歌う】幸せ   back number(Covered by コバソロ & 藤川千愛).mkv | length=413.273 | time=268.125
[Thursday/March 09/03/2023 23:37:21] /mnt/01D4068790C88900/69/로켓펀치(Rocket Punch) 'JUICY' MV-CEE7It_C85k.webm | length=210.021 | time=18.06
[Thursday/March 09/03/2023 23:37:58] /mnt/01D4068790C88900/69/르세라핌 [LE SSERAFIM] - FEARLESS (choreography)｜HUP! [6K0VmqVMKpc].webm | length=177.241 | time=37.078
[Thursday/March 09/03/2023 23:40:27] /mnt/01D4068790C88900/69/【あの花】青い栞   Galileo Galilei(Covered by コバソロ & こぴ).mkv | length=349.59 | time=148.375
[Thursday/March 09/03/2023 23:41:06] /mnt/01D4068790C88900/69/【あの花】青い栞   Galileo Galilei(Covered by コバソロ & こぴ).mkv | length=349.59 | time=188
[Thursday/March 09/03/2023 23:52:04] /mnt/01D406883F6CC980/Assignment/UPB/Adam And Mishmish/أيام الأسبوع مع آدم ومشمش Days of the Week with Adam Wa Mishmish (S02E07) (2018)-rPT4TSdeOv0.webm | length=113.581 | time=77.007
